wavelength,amplitude
999.5889230769232,1.000
997.9421538461539,1.000
996.2953846153847,1.000
994.6486153846155,1.000
993.0018461538463,1.000
991.355076923077,1.000
989.7083076923078,1.000
988.0615384615386,1.000
986.4147692307694,1.000
984.7680000000001,1.000
983.1212307692309,1.000
981.4744615384617,1.000
979.8276923076925,1.000
978.1809230769232,1.000
976.534153846154,1.000
974.8873846153847,1.000
973.2406153846155,1.000
971.5938461538462,1.000
969.947076923077,1.000
968.3003076923078,1.000
966.6535384615386,1.000
965.0067692307694,1.000
963.3600000000001,1.000
961.7132307692309,1.000
960.0664615384617,1.000
958.4196923076925,1.000
956.7729230769232,1.000
955.126153846154,1.000
953.4793846153848,1.000
951.8326153846156,1.000
950.1858461538462,1.000
948.539076923077,1.000
946.8923076923078,1.000
945.2455384615386,1.000
943.5987692307693,1.000
941.9520000000001,1.000
940.3052307692309,1.000
938.6584615384617,1.000
937.0116923076924,1.000
935.3649230769232,1.000
933.718153846154,1.000
932.0713846153848,1.000
930.4246153846155,1.000
928.7778461538463,1.000
927.131076923077,1.000
925.4843076923078,1.000
923.8375384615385,1.000
922.1907692307693,1.000
920.5440000000001,1.000
918.8972307692309,1.000
917.2504615384616,1.000
915.6036923076924,1.000
913.9569230769232,1.000
912.310153846154,1.000
910.6633846153848,1.000
909.0166153846155,1.000
907.3698461538463,1.000
905.7230769230771,1.000
904.0763076923079,1.000
902.4295384615385,1.000
900.7827692307693,1.000
899.1360000000001,1.000
897.4892307692309,1.000
895.8424615384616,1.000
894.1956923076924,1.000
892.5489230769232,1.000
890.902153846154,1.000
889.2553846153847,1.000
887.6086153846155,1.000
885.9618461538463,1.000
884.3150769230771,1.000
882.6683076923078,1.000
881.0215384615386,1.000
879.3747692307694,1.000
877.7280000000001,1.000
876.0812307692308,1.000
874.4344615384616,1.000
872.7876923076924,1.000
871.1409230769232,1.000
869.494153846154,1.000
867.8473846153847,1.000
866.2006153846155,1.000
864.5538461538463,1.000
862.907076923077,1.000
861.2603076923078,1.000
859.6135384615386,1.000
857.9667692307694,1.000
856.3200000000002,1.000
854.6732307692308,1.000
853.0264615384616,1.000
851.3796923076924,1.000
849.7329230769232,1.000
848.0861538461539,1.000
846.4393846153847,1.000
844.7926153846155,1.000
843.1458461538463,1.000
841.499076923077,1.000
839.8523076923078,1.000
838.2055384615386,1.000
836.5587692307694,1.000
834.9120000000001,1.000
833.2652307692309,1.000
831.6184615384617,1.000
829.9716923076924,1.000
828.3249230769231,1.000
826.6781538461539,1.000
825.0313846153847,1.000
823.3846153846155,1.000
821.7378461538462,1.000
820.091076923077,1.000
818.4443076923078,1.000
816.7975384615386,1.000
815.1507692307694,1.000
813.5040000000001,1.000
811.8572307692309,1.000
810.2104615384617,1.000
808.5636923076925,0.994
806.9169230769231,0.987
805.2701538461539,0.981
803.6233846153847,0.974
801.9766153846155,0.968
800.3298461538462,0.961
798.683076923077,0.955
797.0363076923078,0.949
795.3895384615386,0.943
793.7427692307693,0.937
792.0960000000001,0.931
790.4492307692309,0.925
788.8024615384617,0.919
787.1556923076924,0.913
785.5089230769232,0.907
783.862153846154,0.902
782.2153846153847,0.896
780.5686153846154,0.891
778.9218461538462,0.885
777.275076923077,0.880
775.6283076923078,0.875
773.9815384615385,0.870
772.3347692307693,0.864
770.6880000000001,0.859
769.0412307692309,0.854
767.3944615384617,0.849
765.7476923076924,0.844
764.1009230769232,0.839
762.454153846154,0.835
760.8073846153848,0.830
759.1606153846155,0.825
757.5138461538462,0.821
755.867076923077,0.816
754.2203076923078,0.811
752.5735384615385,0.807
750.9267692307693,0.802
749.2800000000001,0.798
747.6332307692309,0.794
745.9864615384616,0.789
744.3396923076924,0.785
742.6929230769232,0.781
741.046153846154,0.777
739.3993846153847,0.773
737.7526153846155,0.769
736.1058461538463,0.765
734.459076923077,0.761
732.8123076923077,0.757
731.1655384615385,0.753
729.5187692307693,0.749
727.8720000000001,0.745
726.2252307692308,0.741
724.5784615384616,0.738
722.9316923076924,0.734
721.2849230769232,0.730
719.638153846154,0.726
717.9913846153847,0.723
716.3446153846155,0.719
714.6978461538463,0.716
713.0510769230771,0.712
711.4043076923078,0.709
709.7575384615385,0.705
708.1107692307693,0.702
706.464,0.699
704.8172307692308,0.695
703.1704615384616,0.692
701.5236923076924,0.689
699.8769230769232,0.685
698.2301538461539,0.682
696.5833846153847,0.679
694.9366153846155,0.676
693.2898461538463,0.673
691.643076923077,0.670
689.9963076923078,0.667
688.3495384615386,0.664
686.7027692307694,0.661
685.056,0.658
683.4092307692308,0.655
681.7624615384616,0.652
680.1156923076924,0.649
678.4689230769231,0.646
676.8221538461539,0.643
675.1753846153847,0.640
673.5286153846155,0.637
671.8818461538463,0.635
670.235076923077,0.632
668.5883076923078,0.629
666.9415384615386,0.627
665.2947692307694,0.624
663.6480000000001,0.621
662.0012307692308,0.619
660.3544615384616,0.616
658.7076923076924,0.613
657.0609230769231,0.611
655.4141538461539,0.608
653.7673846153847,0.606
652.1206153846155,0.603
650.4738461538462,0.601
648.827076923077,0.598
647.1803076923078,0.596
645.5335384615386,0.593
643.8867692307693,0.591
642.2400000000001,0.589
640.5932307692309,0.586
638.9464615384617,0.584
637.2996923076923,0.582
635.6529230769231,0.579
634.0061538461539,0.577
632.3593846153847,0.575
630.7126153846154,0.572
629.0658461538462,0.570
627.419076923077,0.568
625.7723076923078,0.566
624.1255384615386,0.564
622.4787692307693,0.561
620.8320000000001,0.559
619.1852307692309,0.557
617.5384615384617,0.555
615.8916923076924,0.553
614.2449230769231,0.551
612.5981538461539,0.549
610.9513846153847,0.547
609.3046153846154,0.545
607.6578461538462,0.543
606.011076923077,0.541
604.3643076923078,0.539
602.7175384615385,0.537
601.0707692307693,0.535
599.4240000000001,0.533
597.7772307692309,0.530
596.1304615384616,0.519
594.4836923076924,0.509
592.8369230769232,0.499
591.190153846154,0.490
589.5433846153846,0.481
587.8966153846154,0.473
586.2498461538462,0.478
584.603076923077,0.486
582.9563076923077,0.500
581.3095384615385,0.515
579.6627692307693,0.530
578.0160000000001,0.547
576.3692307692309,0.555
574.7224615384616,0.559
573.0756923076924,0.547
571.4289230769232,0.536
569.782153846154,0.525
568.1353846153847,0.514
566.4886153846155,0.504
564.8418461538462,0.495
563.195076923077,0.493
561.5483076923077,0.491
559.9015384615385,0.490
558.2547692307693,0.488
556.6080000000001,0.486
554.9612307692308,0.485
553.3144615384616,0.483
551.6676923076924,0.482
550.0209230769232,0.480
548.374153846154,0.478
546.7273846153847,0.477
545.0806153846155,0.475
543.4338461538463,0.474
541.7870769230769,0.472
540.1403076923077,0.471
538.4935384615385,0.469
536.8467692307693,0.468
535.2,0.466
533.5532307692308,0.465
531.9064615384616,0.463
530.2596923076924,0.462
528.6129230769232,0.460
526.9661538461539,0.459
525.3193846153847,0.457
523.6726153846155,0.456
522.0258461538463,0.455
520.379076923077,0.453
518.7323076923078,0.452
517.0855384615385,0.450
515.4387692307693,0.449
513.792,0.448
512.1452307692308,0.446
510.4984615384616,0.445
508.85169230769236,0.444
507.20492307692314,0.442
505.5581538461539,0.441
503.9113846153847,0.439
502.26461538461547,0.438
500.61784615384624,0.437
498.97107692307696,0.436
497.32430769230774,0.434
495.6775384615385,0.433
494.0307692307693,0.432
492.38400000000007,0.430
490.73723076923085,0.429
489.0904615384616,0.428
487.44369230769234,0.427
485.7969230769231,0.425
484.1501538461539,0.424
482.5033846153847,0.423
480.85661538461545,0.422
479.20984615384623,0.420
477.563076923077,0.419
475.9163076923078,0.418
474.2695384615385,0.417
472.6227692307693,0.416
470.97600000000006,0.414
469.32923076923083,0.413
467.6824615384616,0.412
466.0356923076924,0.411
464.38892307692316,0.410
462.7421538461539,0.409
461.09538461538466,0.408
459.44861538461544,0.406
457.8018461538462,0.405
456.155076923077,0.404
454.50830769230777,0.403
452.86153846153854,0.402
451.21476923076926,0.401
449.56800000000004,0.400
447.9212307692308,0.399
